student_id,question_id,concept_id,is_correct
447,4,7,1
447,57,4,1
447,76,1,0
447,88,8,1
447,64,1,0
447,86,0,1
447,53,7,1
447,8,4,0
447,94,3,1
447,59,7,0
447,66,3,1
447,14,6,0
447,11,5,1
447,81,6,1
447,43,0,0
447,27,8,1
447,83,6,0
447,67,9,0
447,36,6,1
447,34,2,1
447,26,6,0
447,49,0,1
447,60,3,1
447,44,8,1
447,69,2,0
447,40,0,1
447,73,4,1
447,65,0,0
447,98,1,1
447,9,7,1
447,68,7,0
447,48,6,0
447,87,3,1
447,82,7,1
447,96,0,1
447,62,5,1
447,46,7,1
447,99,5,1
447,37,0,1
447,38,7,1
447,23,5,1
447,35,4,1
447,18,0,1
447,17,6,1
447,47,5,1
447,5,7,0
447,80,1,1
447,21,9,0
447,16,0,1
447,93,1,0
447,79,0,0
447,22,8,0
447,39,6,0
447,45,2,0
447,20,4,1
447,13,4,1
447,31,6,0
447,75,5,1
447,1,6,0
447,50,8,0
447,71,0,0
447,91,0,0
447,3,3,1
447,61,1,0
447,77,3,1
447,33,2,0
447,52,6,1
447,51,2,1
447,95,1,0
447,29,1,0
447,78,2,0
447,56,9,0
447,41,0,0
447,19,0,1
447,70,0,0
447,92,7,1
447,54,0,1
447,10,2,1
423,89,9,1
423,50,4,1
423,68,9,1
423,20,9,1
423,57,2,1
423,71,8,1
423,80,8,0
423,26,7,0
423,78,2,0
423,65,4,1
423,27,9,1
423,37,5,1
423,1,3,1
423,17,5,1
423,41,3,1
423,14,1,1
423,25,1,1
423,96,3,0
423,55,0,1
423,12,7,1
423,88,0,1
423,72,2,1
423,74,8,0
423,43,7,1
423,61,5,1
423,54,8,0
423,5,3,1
423,62,4,1
423,6,4,1
423,10,4,1
423,77,6,1
423,47,1,1
423,83,9,1
423,38,9,1
423,99,8,1
423,34,6,1
423,45,8,1
423,98,7,0
423,3,8,1
423,82,1,1
423,32,4,1
423,76,5,1
423,52,7,1
423,22,6,0
423,44,4,1
423,79,9,1
423,56,0,1
423,97,8,0
423,8,2,1
423,13,4,1
423,4,0,1
423,75,8,1
423,60,0,1
423,94,1,1
423,24,9,1
423,63,0,1
423,9,6,1
423,39,1,1
423,15,5,1
423,48,5,1
423,70,2,1
423,7,6,1
423,33,7,1
423,53,5,0
423,86,1,1
423,91,9,1
423,81,2,0
423,67,1,0
423,51,6,1
423,0,0,1
423,19,7,1
423,84,3,1
423,28,2,1
423,59,5,1
423,31,6,1
423,42,2,0
423,23,3,0
423,18,3,1
423,40,0,1
423,16,6,1
423,11,6,1
22,10,3,0
22,1,2,0
22,88,6,1
22,52,1,0
22,86,1,0
22,27,0,0
22,96,7,0
22,28,1,0
22,26,4,1
22,31,8,0
22,95,3,0
22,46,2,0
22,4,2,0
22,34,6,0
22,19,5,0
22,60,2,0
22,85,1,0
22,36,2,0
22,63,6,0
22,22,3,1
22,92,6,1
22,50,7,0
22,82,4,0
22,90,7,1
22,32,8,0
22,6,2,0
22,72,3,0
22,43,9,0
22,89,8,0
22,80,1,1
22,51,2,0
22,68,1,1
22,16,4,0
22,38,9,0
22,41,2,0
22,0,0,1
22,24,5,0
22,73,3,1
22,70,5,0
22,15,1,1
22,40,9,1
22,59,6,1
22,62,9,0
22,39,4,0
22,37,8,0
22,55,7,0
22,45,1,0
22,42,6,0
22,48,2,0
22,78,9,0
22,54,2,0
22,35,7,0
22,7,8,0
22,75,3,0
22,11,1,0
22,91,4,0
22,18,8,0
22,81,7,0
22,14,3,0
22,56,2,0
22,99,5,0
22,29,3,0
22,65,8,0
22,13,5,0
22,71,3,0
22,20,0,0
22,94,0,0
22,21,9,0
22,66,3,0
22,64,9,1
22,79,2,0
22,93,5,0
22,76,4,1
22,25,9,0
22,61,6,0
22,33,1,1
22,87,5,0
22,98,7,0
22,30,9,0
208,92,9,1
208,47,7,0
208,34,6,0
208,5,0,0
208,49,4,0
208,75,1,1
208,51,9,0
208,48,1,0
208,61,3,1
208,99,4,0
208,77,7,1
208,56,3,0
208,72,6,0
208,2,0,1
208,3,9,1
208,93,6,0
208,79,0,1
208,13,5,0
208,60,7,0
208,53,9,1
208,41,3,0
208,14,0,1
208,80,9,0
208,31,6,0
208,66,1,0
208,38,8,0
208,32,1,0
208,18,7,0
208,59,7,0
208,10,5,0
208,8,6,0
208,16,5,0
208,33,5,0
208,65,8,1
208,98,0,0
208,82,6,0
208,12,0,0
208,84,8,0
208,46,5,0
208,55,3,0
208,87,7,1
208,78,2,0
208,1,7,1
208,83,5,0
208,96,7,1
