epoch,split,loss,accuracy
0,train,4.903506,0.000000
0,train,4.903506,0.000000
0,train,4.903506,0.000000
0,train,4.903506,0.000000
0,train,4.903506,0.000000
0,valid,4.903506,0.000000
0,train,1.889884,0.000000
0,valid,1.889884,0.000000
0,train,1.889884,0.000000
0,valid,1.889884,0.000000
0,train,1.889884,0.000000
0,valid,1.889884,0.000000
1,train,1.889673,0.000000
1,valid,1.889673,0.000000
2,train,1.889357,0.000000
2,valid,1.889357,0.000000
3,train,1.888948,0.000000
3,valid,1.888948,0.000000
4,train,1.888454,0.000000
4,valid,1.888454,0.000000
5,train,1.887884,0.000000
5,valid,1.887884,0.000000
6,train,1.887246,0.000000
6,valid,1.887246,0.000000
7,train,1.886547,0.000000
7,valid,1.886547,0.000000
8,train,1.885792,0.000000
8,valid,1.885792,0.000000
9,train,1.884988,0.000000
9,valid,1.884988,0.000000
10,train,1.884139,0.000000
10,valid,1.884139,0.000000
11,train,1.883250,0.000000
11,valid,1.883250,0.000000
12,train,1.882326,0.000000
12,valid,1.882326,0.000000
13,train,1.881369,0.000000
13,valid,1.881369,0.000000
14,train,1.880384,0.000000
14,valid,1.880384,0.000000
15,train,1.879372,0.000000
15,valid,1.879372,0.000000
16,train,1.878337,0.000000
16,valid,1.878337,0.000000
17,train,1.877282,0.000000
17,valid,1.877282,0.000000
18,train,1.876208,0.000000
18,valid,1.876208,0.000000
19,train,1.875117,0.000000
19,valid,1.875117,0.000000
20,train,1.874011,0.000000
20,valid,1.874011,0.000000
21,train,1.872892,0.000000
21,valid,1.872892,0.000000
22,train,1.871761,0.000000
22,valid,1.871761,0.000000
23,train,1.870620,0.000000
23,valid,1.870620,0.000000
24,train,1.869469,0.000000
24,valid,1.869469,0.000000
25,train,1.868309,0.000000
25,valid,1.868309,0.000000
26,train,1.867143,0.000000
26,valid,1.867143,0.000000
27,train,1.865970,0.000000
27,valid,1.865970,0.000000
28,train,1.864790,0.000000
28,valid,1.864790,0.000000
29,train,1.863606,0.000000
29,valid,1.863606,0.000000
30,train,1.862417,0.000000
30,valid,1.862417,0.000000
31,train,1.861225,0.000000
31,valid,1.861225,0.000000
32,train,1.860028,0.000000
32,valid,1.860028,0.000000
33,train,1.858829,0.000000
33,valid,1.858829,0.000000
34,train,1.857627,0.000000
34,valid,1.857627,0.000000
35,train,1.856423,0.000000
35,valid,1.856423,0.000000
36,train,1.855217,0.000000
36,valid,1.855217,0.000000
37,train,1.854008,0.000000
37,valid,1.854008,0.000000
38,train,1.852799,0.000000
38,valid,1.852799,0.000000
39,train,1.851589,0.000000
39,valid,1.851589,0.000000
40,train,1.850378,0.000000
40,valid,1.850378,0.000000
41,train,1.849165,0.000000
41,valid,1.849165,0.000000
42,train,1.847953,0.000000
42,valid,1.847953,0.000000
43,train,1.846740,0.000000
43,valid,1.846740,0.000000
44,train,1.845526,0.000000
44,valid,1.845526,0.000000
45,train,1.844313,0.000000
45,valid,1.844313,0.000000
46,train,1.843100,0.000000
46,valid,1.843100,0.000000
47,train,1.841886,0.000000
47,valid,1.841886,0.000000
48,train,1.840673,0.000000
48,valid,1.840673,0.000000
49,train,1.839460,0.000000
49,valid,1.839460,0.000000
0,train,0.698782,,
0,valid,0.698782,0.490000,0.4826562399897495
0,test,0.698782,0.493000,0.4974879899519598
1,train,0.697035,,
1,valid,0.697035,0.486000,0.4830126049074252
1,test,0.697035,0.487000,0.49638798555194225
2,train,0.696762,,
2,valid,0.696762,0.488000,0.48322482221795116
2,test,0.696762,0.485000,0.49767599070396284
3,train,0.695831,,
3,valid,0.695831,0.491000,0.48363724453840734
3,test,0.695831,0.486000,0.4975239900959604
4,train,0.695267,,
4,valid,0.695267,0.494000,0.4856913479402909
4,test,0.695267,0.491000,0.4969479877919512
5,train,0.694314,,
5,valid,0.694314,0.490000,0.48549915113075787
5,test,0.694314,0.491000,0.49552398209592835
6,train,0.693827,,
6,valid,0.693827,0.489000,0.486315987571273
6,test,0.693827,0.485000,0.4947319789279157
7,train,0.692634,,
7,valid,0.692634,0.495000,0.4871007912101992
7,test,0.692634,0.489000,0.4948079792319169
8,train,0.692345,,
8,valid,0.692345,0.491000,0.48760530783522327
8,test,0.692345,0.494000,0.4935359741438966
9,train,0.691299,,
9,valid,0.691299,0.493000,0.48832204177077326
9,test,0.691299,0.496000,0.4935119740478962
10,train,0.691404,,
10,valid,0.691404,0.494000,0.48998974950349156
10,test,0.691404,0.497000,0.4922439689758759
11,train,0.690294,,
11,valid,0.690294,0.497000,0.49152331987955666
11,test,0.690294,0.504000,0.49205996823987297
12,train,0.690279,,
12,valid,0.690279,0.503000,0.4939317861490166
12,test,0.690279,0.502000,0.4920959683838736
13,train,0.689543,,
13,valid,0.689543,0.499000,0.49468455698635405
13,test,0.689543,0.501000,0.4912639650558602
14,train,0.689305,,
14,valid,0.689305,0.503000,0.4970209494522391
14,test,0.689305,0.500000,0.49183996735986946
15,train,0.687908,,
15,valid,0.687908,0.509000,0.4993473316676276
15,test,0.687908,0.505000,0.4915839663358653
16,train,0.687924,,
16,valid,0.687924,0.512000,0.5013313633160357
16,test,0.687924,0.510000,0.4913959655838623
17,train,0.686979,,
17,valid,0.686979,0.513000,0.5040181145492985
17,test,0.686979,0.503000,0.4932639730558922
18,train,0.686744,,
18,valid,0.686744,0.516000,0.505547680825165
18,test,0.686744,0.499000,0.49351997407989634
19,train,0.685512,,
19,valid,0.685512,0.512000,0.5063485008648856
19,test,0.685512,0.494000,0.49437597750391
0,train,1.889884,0.000000
0,valid,1.889884,0.000000
1,train,1.889673,0.000000
1,valid,1.889673,0.000000
2,train,1.889357,0.000000
2,valid,1.889357,0.000000
3,train,1.888948,0.000000
3,valid,1.888948,0.000000
4,train,1.888454,0.000000
4,valid,1.888454,0.000000
5,train,1.887884,0.000000
5,valid,1.887884,0.000000
6,train,1.887246,0.000000
6,valid,1.887246,0.000000
7,train,1.886547,0.000000
7,valid,1.886547,0.000000
8,train,1.885792,0.000000
8,valid,1.885792,0.000000
9,train,1.884988,0.000000
9,valid,1.884988,0.000000
10,train,1.884139,0.000000
10,valid,1.884139,0.000000
11,train,1.883250,0.000000
11,valid,1.883250,0.000000
12,train,1.882326,0.000000
12,valid,1.882326,0.000000
13,train,1.881369,0.000000
13,valid,1.881369,0.000000
14,train,1.880384,0.000000
14,valid,1.880384,0.000000
15,train,1.879372,0.000000
15,valid,1.879372,0.000000
16,train,1.878337,0.000000
16,valid,1.878337,0.000000
17,train,1.877282,0.000000
17,valid,1.877282,0.000000
18,train,1.876208,0.000000
18,valid,1.876208,0.000000
19,train,1.875117,0.000000
19,valid,1.875117,0.000000
20,train,1.874011,0.000000
20,valid,1.874011,0.000000
21,train,1.872892,0.000000
21,valid,1.872892,0.000000
22,train,1.871761,0.000000
22,valid,1.871761,0.000000
23,train,1.870620,0.000000
23,valid,1.870620,0.000000
24,train,1.869469,0.000000
24,valid,1.869469,0.000000
25,train,1.868309,0.000000
25,valid,1.868309,0.000000
26,train,1.867143,0.000000
26,valid,1.867143,0.000000
27,train,1.865970,0.000000
27,valid,1.865970,0.000000
28,train,1.864790,0.000000
28,valid,1.864790,0.000000
29,train,1.863606,0.000000
29,valid,1.863606,0.000000
30,train,1.862417,0.000000
30,valid,1.862417,0.000000
31,train,1.861225,0.000000
31,valid,1.861225,0.000000
32,train,1.860028,0.000000
32,valid,1.860028,0.000000
33,train,1.858829,0.000000
33,valid,1.858829,0.000000
34,train,1.857627,0.000000
34,valid,1.857627,0.000000
35,train,1.856423,0.000000
35,valid,1.856423,0.000000
36,train,1.855217,0.000000
36,valid,1.855217,0.000000
37,train,1.854008,0.000000
37,valid,1.854008,0.000000
38,train,1.852799,0.000000
38,valid,1.852799,0.000000
39,train,1.851589,0.000000
39,valid,1.851589,0.000000
40,train,1.850378,0.000000
40,valid,1.850378,0.000000
41,train,1.849165,0.000000
41,valid,1.849165,0.000000
42,train,1.847953,0.000000
42,valid,1.847953,0.000000
43,train,1.846740,0.000000
43,valid,1.846740,0.000000
44,train,1.845526,0.000000
44,valid,1.845526,0.000000
45,train,1.844313,0.000000
45,valid,1.844313,0.000000
46,train,1.843100,0.000000
46,valid,1.843100,0.000000
47,train,1.841886,0.000000
47,valid,1.841886,0.000000
48,train,1.840673,0.000000
48,valid,1.840673,0.000000
49,train,1.839460,0.000000
49,valid,1.839460,0.000000
0,train,0.694299,,
0,valid,0.694299,0.500100,0.4991572372694488
0,test,0.694299,0.494200,0.4951825775662052
1,train,0.692970,,
1,valid,0.692970,0.502500,0.5002521008168066
1,test,0.692970,0.494100,0.4960462287591247
2,train,0.692241,,
2,valid,0.692241,0.502900,0.4998990796730181
2,test,0.692241,0.498500,0.4985664014205624
3,train,0.691609,,
3,valid,0.691609,0.496700,0.4995143784265861
3,test,0.691609,0.500300,0.49984497799091476
4,train,0.691010,,
4,valid,0.691010,0.497100,0.49922607749249104
4,test,0.691010,0.502500,0.5003984451638493
5,train,0.690466,,
5,valid,0.690466,0.495900,0.4994399381853997
5,test,0.690466,0.501700,0.5006515484440679
6,train,0.690002,,
6,valid,0.690002,0.497700,0.49940937808638497
6,test,0.690002,0.500700,0.5005363469510564
7,train,0.689643,,
7,valid,0.689643,0.497000,0.49964419884720424
7,test,0.689643,0.502300,0.5003655447374598
8,train,0.689350,,
8,valid,0.689350,0.498100,0.49976543924002315
8,test,0.689350,0.502100,0.5006886889254085
9,train,0.689140,,
9,valid,0.689140,0.497400,0.4994412581896765
9,test,0.689140,0.503900,0.5006709086949767
10,train,0.688982,,
10,valid,0.688982,0.497300,0.49931879779290483
10,test,0.688982,0.502100,0.500614287961172
11,train,0.688841,,
11,valid,0.688841,0.498700,0.4994863383357362
11,test,0.688841,0.500600,0.5002321230083142
12,train,0.688741,,
12,valid,0.688741,0.499300,0.49929181770548936
12,test,0.688741,0.501500,0.500231122995354
13,train,0.688652,,
13,valid,0.688652,0.498600,0.49916043727981685
13,test,0.688652,0.503100,0.5005961477260745
14,train,0.688583,,
14,valid,0.688583,0.498700,0.49882193618307324
14,test,0.688583,0.502200,0.5010497136042883
15,train,0.688518,,
15,valid,0.688518,0.499500,0.4988106161463963
15,test,0.688518,0.503800,0.5011709151750607
16,train,0.688462,,
16,valid,0.688462,0.499200,0.4983881547776215
16,test,0.688462,0.503700,0.5013731777963841
17,train,0.688407,,
17,valid,0.688407,0.500600,0.49822291424224213
17,test,0.688407,0.500100,0.5016404012596003
18,train,0.688363,,
18,valid,0.688363,0.499400,0.4981415539786349
18,test,0.688363,0.500500,0.5012374960379486
19,train,0.688319,,
19,valid,0.688319,0.500600,0.49805879371049167
19,test,0.688319,0.501800,0.5012060156299626
20,train,0.688266,,
20,valid,0.688266,0.500200,0.49796411340372737
20,test,0.688266,0.501200,0.5010930341657228
21,train,0.688231,,
21,valid,0.688231,0.501100,0.49743651169429787
21,test,0.688231,0.500800,0.5012774965563553
22,train,0.688203,,
22,valid,0.688203,0.501300,0.49744139171010915
22,test,0.688203,0.498800,0.5013518775203327
23,train,0.688161,,
23,valid,0.688161,0.500700,0.4970326103856576
23,test,0.688161,0.498300,0.5013408573775116
24,train,0.688126,,
24,valid,0.688126,0.500000,0.4971514307706357
24,test,0.688126,0.500700,0.5020164461331419
25,train,0.688089,,
25,valid,0.688089,0.501700,0.4967557294885635
25,test,0.688089,0.500500,0.5016886218845397
26,train,0.688056,,
26,valid,0.688056,0.502300,0.49680542964959207
26,test,0.688056,0.500200,0.5019086047355173
27,train,0.688029,,
27,valid,0.688029,0.501400,0.49655282883116547
27,test,0.688029,0.500200,0.5019623454319968
28,train,0.688002,,
28,valid,0.688002,0.500000,0.49633570812769434
28,test,0.688002,0.500400,0.5019951458570903
29,train,0.687974,,
29,valid,0.687974,0.499900,0.49603088714007426
29,test,0.687974,0.499500,0.5019816056816097
30,train,0.687948,,
30,valid,0.687948,0.499900,0.4955335055285579
30,test,0.687948,0.499600,0.5019704855374926
31,train,0.687912,,
31,valid,0.687912,0.499300,0.4948748633945574
31,test,0.687912,0.501400,0.5019235049286239
32,train,0.687899,,
32,valid,0.687899,0.500200,0.4950044038142683
32,test,0.687899,0.500200,0.5019752855997014
33,train,0.687863,,
33,valid,0.687863,0.500000,0.4949225035489115
33,test,0.687863,0.501100,0.5024509117638165
34,train,0.687846,,
34,valid,0.687846,0.500600,0.49480190315816625
34,test,0.687846,0.500700,0.5025832534789652
35,train,0.687824,,
35,valid,0.687824,0.499800,0.49472148289760465
35,test,0.687824,0.502400,0.5027307753908491
36,train,0.687804,,
36,valid,0.687804,0.499200,0.49425196137635485
36,test,0.687804,0.501000,0.5026159139022441
37,train,0.687776,,
37,valid,0.687776,0.498400,0.4941999212077447
37,test,0.687776,0.502800,0.5027307753908491
38,train,0.687755,,
38,valid,0.687755,0.497900,0.4937892798772668
38,test,0.687755,0.502600,0.502663494518889
39,train,0.687735,,
39,valid,0.687735,0.498600,0.4935065189611214
39,test,0.687735,0.502700,0.5024696120061716
40,train,0.687717,,
40,valid,0.687717,0.497900,0.4935300190372617
40,test,0.687717,0.502500,0.5026016537174322
41,train,0.687702,,
41,valid,0.687702,0.498400,0.4933849985673954
41,test,0.687702,0.502100,0.5031140603582221
42,train,0.687687,,
42,valid,0.687687,0.498700,0.49307249755489213
42,test,0.687687,0.504100,0.5030955401181999
43,train,0.687672,,
43,valid,0.687672,0.497900,0.4927611965462768
43,test,0.687672,0.504100,0.5031429007319934
44,train,0.687652,,
44,valid,0.687652,0.498300,0.4929019370022759
44,test,0.687652,0.502500,0.5031633809974178
45,train,0.687633,,
45,valid,0.687633,0.498800,0.49295921718786373
45,test,0.687633,0.502900,0.5031315405847661
46,train,0.687621,,
46,valid,0.687621,0.499100,0.49277899660394897
46,test,0.687621,0.503100,0.5033207430368297
47,train,0.687599,,
47,valid,0.687599,0.497800,0.49252711578785513
47,test,0.687599,0.503700,0.5031231404759006
48,train,0.687593,,
48,valid,0.687593,0.496800,0.49208581435803855
48,test,0.687593,0.503400,0.5034021440917874
49,train,0.687582,,
49,valid,0.687582,0.497300,0.4918542736078465
49,test,0.687582,0.502700,0.5034605048481429
50,train,0.687562,,
50,valid,0.687562,0.498000,0.4921724946388827
50,test,0.687562,0.501700,0.5035997066521982
51,train,0.687536,,
51,valid,0.687536,0.497300,0.49167019301142534
51,test,0.687536,0.504000,0.5040364323121628
52,train,0.687535,,
52,valid,0.687535,0.496900,0.49166309298842126
52,test,0.687535,0.503100,0.504150053784697
